序号,subskill,分类,标题,请求方式,域名,外部接口,必填参数,全部参数,支持全量,适用场景,示例命令,文档路径
1,10jqk-board-all-kline,指数 / 行业 / 板块,查询同花顺全板块 K 线,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/ths-all-board-kline,无,"start_date, end_date, page, page_size",否,查询同花顺所有板块在指定日期范围内的 K 线数据（分页）,python <RUN_PY> 10jqk-board-all-kline --start-date 2026-05-20 --end-date 2026-05-25,
2,10jqk-board-kline,指数 / 行业 / 板块,查询同花顺板块历史 K 线,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/ths-board-kline,board_code,"board_code, page, page_size",否,查询指定同花顺板块的历史日 K 线数据,python <RUN_PY> 10jqk-board-kline --board-code 885311,
3,10jqk-board-list,指数 / 行业 / 板块,查询同花顺板块列表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/ths-board-list,无,"module, search",否,查询同花顺全部板块（概念/证监会/行业/地域）的代码与名称列表,python <RUN_PY> 10jqk-board-list,
4,block-trades,A 股基础 / 行情,查询大宗交易列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/block-trades,无,无,否,获取 A 股大宗交易记录，包含买卖方营业部、成交价、成交量、溢价率等,python <RUN_PY> block-trades,
5,cb-base-data,ETF / 基金 / 可转债,查询可转债基础信息,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/cb/cb-base-data,symbol_code,symbol_code,否,根据转债代码获取单只可转债的完整基础信息；数据为前一交易日可转债基础数据,python <RUN_PY> cb-base-data --symbol_code 110070.SH,
6,cb-lists,ETF / 基金 / 可转债,获取可转债列表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/cb/cb-lists,无,无,否,获取当前可转债全量列表（全称、债券代码、正股代码、交易所）；仅包含通过可转债号段判断的标的，数据为前一交易日,python <RUN_PY> cb-lists,
7,company-hk,港股 / 港股通 / AH,查询港股公司介绍,GET,https://market.ft.tech,/gateway/api/v1/market/data/hk/company-hk,trade_code,trade_code,否,按港股交易代码查询该公司介绍，含公司名称、成立日期、注册资本、法人代表、公司简介、主营业务等,python <RUN_PY> company-hk --trade_code 00700.HK,
8,eastmoney-board-constituents,指数 / 行业 / 板块,查询东财板块成分股,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-board-constituents,board_code,board_code,否,查询指定东财板块的全部成分股代码和名称,python <RUN_PY> eastmoney-board-constituents --board_code BK1024,
9,eastmoney-board-daily-ohlc,指数 / 行业 / 板块,查询东财单板块历史 OHLC,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-board-daily-ohlc,board_code,"board_code, start_date, end_date, page, page_size, all",是,查询指定东财板块历史 OHLC 数据，支持日期范围过滤与分页,python <RUN_PY> eastmoney-board-daily-ohlc --board_code BK1024 --page 1 --page_size 20,
10,eastmoney-board-latest-ohlc,指数 / 行业 / 板块,查询东财单板块最新 OHLC,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-board-latest-ohlc,无,"board_code, page, page_size, all",是,查询指定东财板块最新 OHLC 行情数据，支持分页,python <RUN_PY> eastmoney-board-latest-ohlc --board_code BK1024,
11,eastmoney-concept-boards,指数 / 行业 / 板块,查询东财概念板块列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-concept-boards,无,无,否,查询东财概念板块基础信息与成分代码列表，返回全量板块,python <RUN_PY> eastmoney-concept-boards,
12,eastmoney-hk-index-daily-kline,指数 / 行业 / 板块,对外接口-查询东财港股指数日K线,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/eastmoney-hk-index-daily-kline,无,"index_code, trade_date, start_date, end_date, page, page_size, all",是,查询港股指数（恒生、国企、恒生科技等）日 K 线：开高低收、成交量、成交额、振幅、涨跌幅、涨跌额、换手率。数据源东方财富，ClickHouse em_hk_index_daily_kline。,python <RUN_PY> eastmoney-hk-index-daily-kline,
13,eastmoney-market-valuation,A 股资金 / 估值 / 热度 / 短线,查询东财市场日估值,GET,https://market.ft.tech,/gateway/api/v1/market/data/eastmoney-market-valuation,无,"market_code, trade_date, start_date, end_date, page, page_size, all",是,查询 A 股主要市场指数（上证指数、沪深300、深证成指、创业板指、科创50、北证50）的每日估值数据，包括市盈率、总市值、流通市值、收盘点位等；支持单日、区间查询,python <RUN_PY> eastmoney-market-valuation --market_code 000300 --page 1 --page_size 10,
