官网顺序,目录路径,一级目录,二级目录,三级目录,页面标题,文档标题,doc_id,官方链接,接口名,接口类型,描述,更新时间,权限类型,权限原文,限量/频次原文,输入参数数量,输入参数结构,输出字段数量,输出字段摘要,证据状态
3,股票数据 / 基础数据 / 股票列表,股票数据,基础数据,,股票列表,股票基础信息,25,https://tushare.pro/document/2?doc_id=25,stock_basic,股票数据 / 基础数据,描述：获取基础信息数据，包括股票代码、名称、上市日期、退市日期等,,积分可访问,权限：2000积分起，每分钟请求50次。此接口是基础信息，调取一次就可以拉取完，建议保存倒本地存储后使用,限量：每次最多返回6000行数据（覆盖全市场A股，会随股票总数增长而增加）,6,"ts_code:str, name:str, market:str, list_status:str, exchange:str, is_hs:str",17,"ts_code:str(Y), symbol:str(Y), name:str(Y), area:str(Y), industry:str(Y), fullname:str(N), enname:str(N), cnspell:str(Y), market:str(Y), exchange:str(N), curr_type:str(N), list_status:str(N), list_date:str(Y), delist_date:str(N), is_hs:str(N), act_name:str(Y), act_ent_type:str(Y)",官网右侧文档直接提取
4,股票数据 / 基础数据 / 每日股本（盘前）,股票数据,基础数据,,每日股本（盘前）,股本情况（盘前）,329,https://tushare.pro/document/2?doc_id=329,stk_premarket,股票数据 / 基础数据,描述：每日开盘前获取当日股票的股本情况，包括总股本和流通股本，涨跌停价格等。,,单独开权限,权限：与积分无关，可以在线开通权限。,限量：单次最大8000条数据，可循环提取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",7,"trade_date:str(Y), ts_code:str(Y), total_share:float(Y), float_share:float(Y), pre_close:float(Y), up_limit:float(Y), down_limit:float(Y)",官网右侧文档直接提取
5,股票数据 / 基础数据 / 交易日历,股票数据,基础数据,,交易日历,交易日历,26,https://tushare.pro/document/2?doc_id=26,trade_cal,股票数据 / 基础数据,"描述：获取各大交易所交易日历数据,默认提取的是上交所",,积分可访问,积分：需2000积分,,4,"exchange:str, start_date:str, end_date:str, is_open:str",4,"exchange:str(Y), cal_date:str(Y), is_open:str(Y), pretrade_date:str(Y)",官网右侧文档直接提取
6,股票数据 / 基础数据 / ST股票列表,股票数据,基础数据,,ST股票列表,ST股票列表,397,https://tushare.pro/document/2?doc_id=397,stock_st,股票数据 / 基础数据,描述：获取ST股票列表，可根据交易日期获取历史上每天的ST列表,,积分可访问,权限：3000积分起,"提示：每天上午9:20更新，单次请求最大返回1000行数据，可循环提取,本接口数据从20160101开始,太早历史无法补齐",4,"ts_code:str, trade_date:str, start_date:str, end_date:str",5,"ts_code:str(Y), name:str(Y), trade_date:str(Y), type:str(Y), type_name:str(Y)",官网右侧文档直接提取
7,股票数据 / 基础数据 / ST风险警示板股票,股票数据,基础数据,,ST风险警示板股票,ST风险警示板股票,423,https://tushare.pro/document/2?doc_id=423,st,股票数据 / 基础数据,描述：ST风险警示板股票列表,,积分可访问,积分：6000积分可提取数据，具体请参阅积分获取办法,限量：单次最大1000，可根据股票代码循环获取历史数据,3,"ts_code:str, pub_date:str, imp_date:str",7,"ts_code:str(Y), name:str(Y), pub_date:str(Y), imp_date:str(Y), st_tpye:str(Y), st_reason:str(Y), st_explain:str(Y)",官网右侧文档直接提取
8,股票数据 / 基础数据 / 沪深港通股票列表,股票数据,基础数据,,沪深港通股票列表,沪深港通股票列表,398,https://tushare.pro/document/2?doc_id=398,stock_hsgt,股票数据 / 基础数据,描述：获取沪深港通股票列表,,积分可访问,权限：3000积分起,"提示：每天上午9:20更新，单次请求最大返回2000行数据，可根据类型循环提取,本接口数据从20250812开始",10,"ts_code:str, trade_date:str, type*:str, start_date:str, end_date:str, 类型:类型名称, HK_SZ:深股通(港>深), SZ_HK:港股通(深>港), HK_SH:沪股通(港>沪), SH_HK:港股通(沪>港)",5,"ts_code:str(Y), trade_date:str(Y), type:str(Y), name:str(Y), type_name:str(Y)",官网右侧文档直接提取
9,股票数据 / 基础数据 / 股票曾用名,股票数据,基础数据,,股票曾用名,股票曾用名,100,https://tushare.pro/document/2?doc_id=100,namechange,股票数据 / 基础数据,描述：历史名称变更记录,,积分可访问,,,3,"ts_code:str, start_date:str, end_date:str",6,"ts_code:str, name:str, start_date:str, end_date:str, ann_date:str, change_reason:str",官网右侧文档直接提取；官网右侧文档未明示权限；按官网积分权限表/基础数据大类判定为积分接口
10,股票数据 / 基础数据 / 上市公司基本信息,股票数据,基础数据,,上市公司基本信息,上市公司基本信息,112,https://tushare.pro/document/2?doc_id=112,stock_company,股票数据 / 基础数据,描述：获取上市公司基础信息，单次提取4500条，可以根据交易所分批提取,,积分可访问,积分：用户需要至少120积分才可以调取，具体请参阅积分获取办法,,2,"ts_code:str, exchange:str",18,"ts_code:str(Y), com_name:str(Y), com_id:str(Y), exchange:str(Y), chairman:str(Y), manager:str(Y), secretary:str(Y), reg_capital:float(Y), setup_date:str(Y), province:str(Y), city:str(Y), introduction:str(N), website:str(Y), email:str(Y), office:str(N), employees:int(Y), main_business:str(N), business_scope:str(N)",官网右侧文档直接提取
11,股票数据 / 基础数据 / 上市公司管理层,股票数据,基础数据,,上市公司管理层,上市公司管理层,193,https://tushare.pro/document/2?doc_id=193,stk_managers,股票数据 / 基础数据,描述：获取上市公司管理层,,积分可访问,积分：用户需要2000积分才可以调取，5000积分以上频次相对较高，具体请参阅积分获取办法,,4,"ts_code:str, ann_date:str, start_date:str, end_date:str",12,"ts_code:str(Y), ann_date:str(Y), name:str(Y), gender:str(Y), lev:str(Y), title:str(Y), edu:str(Y), national:str(Y), birthday:str(Y), begin_date:str(Y), end_date:str(Y), resume:str(N)",官网右侧文档直接提取
12,股票数据 / 基础数据 / 管理层薪酬和持股,股票数据,基础数据,,管理层薪酬和持股,管理层薪酬和持股,194,https://tushare.pro/document/2?doc_id=194,stk_rewards,股票数据 / 基础数据,描述：获取上市公司管理层薪酬和持股,,积分可访问,积分：用户需要2000积分才可以调取，5000积分以上频次相对较高，具体请参阅积分获取办法,,2,"ts_code*:str, end_date:str",7,"ts_code:str(Y), ann_date:str(Y), end_date:str(Y), name:str(Y), title:str(Y), reward:float(Y), hold_vol:float(Y)",官网右侧文档直接提取
13,股票数据 / 基础数据 / 北交所新旧代码对照,股票数据,基础数据,,北交所新旧代码对照,北交所新旧代码对照表,375,https://tushare.pro/document/2?doc_id=375,bse_mapping,股票数据 / 基础数据,描述：获取北交所股票代码变更后新旧代码映射表数据,,积分可访问,积分：2000积分即可调取,限量：单次最大1000条（本接口总数据量300以内）,2,"o_code:str, n_code:str",4,"name:str(Y), o_code:str(Y), n_code:str(Y), list_date:str(Y)",官网右侧文档直接提取
14,股票数据 / 基础数据 / IPO新股上市,股票数据,基础数据,,IPO新股上市,IPO新股列表,123,https://tushare.pro/document/2?doc_id=123,new_share,股票数据 / 基础数据,描述：获取新股上市列表数据,,积分可访问,积分：用户需要至少120积分才可以调取，具体请参阅积分获取办法,限量：单次最大2000条，总量不限制,2,"start_date:str, end_date:str",12,"ts_code:str(Y), sub_code:str(Y), name:str(Y), ipo_date:str(Y), issue_date:str(Y), amount:float(Y), market_amount:float(Y), price:float(Y), pe:float(Y), limit_amount:float(Y), funds:float(Y), ballot:float(Y)",官网右侧文档直接提取
15,股票数据 / 基础数据 / 股票历史列表,股票数据,基础数据,,股票历史列表,股票历史列表（历史每天股票列表）,262,https://tushare.pro/document/2?doc_id=262,bak_basic,股票数据 / 基础数据,描述：获取备用基础列表，数据从2016年开始,,积分可访问,,限量：单次最大7000条，可以根据日期参数循环获取历史，正式权限需要5000积分。,2,"trade_date:str, ts_code:str",24,"trade_date:str(Y), ts_code:str(Y), name:str(Y), industry:str(Y), area:str(Y), pe:float(Y), float_share:float(Y), total_share:float(Y), total_assets:float(Y), liquid_assets:float(Y), fixed_assets:float(Y), reserved:float(Y), reserved_pershare:float(Y), eps:float(Y), bvps:float(Y), pb:float(Y), list_date:str(Y), undp:float(Y), per_undp:float(Y), rev_yoy:float(Y), profit_yoy:float(Y), gpr:float(Y), npr:float(Y), holder_num:int(Y)",官网右侧文档直接提取
17,股票数据 / 行情数据 / 历史日线,股票数据,行情数据,,历史日线,A股日线行情,27,https://tushare.pro/document/2?doc_id=27,daily,股票数据 / 行情数据,描述：获取股票行情数据，或通过通用行情接口获取数据，包含了前后复权数据,,积分可访问,,调取说明：基础积分每分钟内可调取500次，每次6000条数据，一次请求相当于提取一个股票23年历史,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str, trade_date:str, open:float, high:float, low:float, close:float, pre_close:float, change:float, pct_chg:float, vol:float, amount:float",官网右侧文档直接提取
18,股票数据 / 行情数据 / 实时日线,股票数据,行情数据,,实时日线,A股实时日线,372,https://tushare.pro/document/2?doc_id=372,rt_k,股票数据 / 行情数据,描述：获取实时日k线行情，支持按股票代码及股票代码通配符一次性提取全部股票实时日k线行情,,单独开权限,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表，可以在线开通权限。,限量：单次最大可提取6000条数据，等同于一次提取全市场,1,ts_code*:str,15,"ts_code:str(Y), name:None(Y), pre_close:float(Y), high:float(Y), open:float(Y), low:float(Y), close:float(Y), vol:int(Y), amount:int(Y), num:int(Y), ask_price1:float(N), ask_volume1:int(N), bid_price1:float(N), bid_volume1:int(N), trade_time:str(N)",官网右侧文档直接提取
19,股票数据 / 行情数据 / 历史分钟,股票数据,行情数据,,历史分钟,股票历史分钟行情,370,https://tushare.pro/document/2?doc_id=370,stk_mins,股票数据 / 行情数据,描述：获取A股分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,,单独开权限,权限：需单独开权限，正式权限请参阅 权限说明 ，可以在线开通分钟权限。,限量：单次最大8000行数据，可以通过股票代码和时间循环获取，本接口可以提供超过10年历史分钟数据,10,"ts_code*:str, freq*:str, start_date:datetime, end_date:datetime, freq:说明, 1min:1分钟, 5min:5分钟, 15min:15分钟, 30min:30分钟, 60min:60分钟",8,"ts_code:str(Y), trade_time:str(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:int(Y), amount:float(Y)",官网右侧文档直接提取
20,股票数据 / 行情数据 / 实时分钟,股票数据,行情数据,,实时分钟,A股实时分钟,374,https://tushare.pro/document/2?doc_id=374,rt_min,股票数据 / 行情数据,描述：获取全A股票实时分钟数据，包括1~60min,,单独开权限,权限：正式权限请参阅 权限说明,限量：单次最大1000行数据，可以通过股票代码提取数据，支持逗号分隔的多个代码同时提取,8,"freq*:str, ts_code*:str, freq:说明, 1MIN:1分钟, 5MIN:5分钟, 15MIN:15分钟, 30MIN:30分钟, 60MIN:60分钟",8,"code:str(Y), time:None(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
21,股票数据 / 行情数据 / A股实时分钟-日累计,股票数据,行情数据,,A股实时分钟-日累计,A股实时分钟-日累计,457,https://tushare.pro/document/2?doc_id=457,rt_min_daily,股票数据 / 行情数据,描述：获取A股当日盘中历史分钟数据，可以提取单只股票当日开盘以来的所有分钟数据,,单独开权限,权限：开通了实时分钟权限自动获得本接口权限,,2,"freq*:str, ts_code*:str",9,"ts_code:str(Y), freq:None(Y), time:None(Y), open:float(Y), close:float(Y), high:float(Y), low:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取；官网右侧文档写明：开通实时分钟权限自动获得本接口权限
22,股票数据 / 行情数据 / 周线行情,股票数据,行情数据,,周线行情,周线行情,144,https://tushare.pro/document/2?doc_id=144,weekly,股票数据 / 行情数据,描述：获取A股周线行情，本接口每周最后一个交易日更新，如需要使用每天更新的周线数据，请使用日度更新的周线行情接口。,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,限量：单次最大6000行，可使用交易日期循环提取，总量不限制,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_chg:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
23,股票数据 / 行情数据 / 月线行情,股票数据,行情数据,,月线行情,月线行情,145,https://tushare.pro/document/2?doc_id=145,monthly,股票数据 / 行情数据,描述：获取A股月线数据,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,限量：单次最大4500行，总量不限制,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",11,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_chg:float(Y), vol:float(Y), amount:float(Y)",官网右侧文档直接提取
24,股票数据 / 行情数据 / 复权行情,股票数据,行情数据,,复权行情,A股复权行情,146,https://tushare.pro/document/2?doc_id=146,pro_bar,股票数据 / 行情数据,复权行情通过通用行情接口 pro_bar 实现，支持前复权/后复权等行情提取,,积分可访问,,,0,,0,,官网右侧文档直接提取；接口名称为 pro_bar；复权行情通过通用行情接口实现，按通用行情接口/积分接口处理
