序号,分类,Tool,作用摘要,必填参数,全部参数,参数数量
1,示例 / 聚合,aggregate_demo,示例聚合型工具（占位）。并发取融资融券明细 + 个股主力资金，合并成摘要文本。,无,"date, time",2
2,聚合行情 / 旧工具,capital_flow,"主力资金/资金流。type 默认 stock=个股盘中15分钟切片资金流(可选 symbol 按标的过滤,Wind 风格 000001.SZ,也接受内码 000001.XSHE;",无,"date, page, page_size, symbol, time, type",6
3,聚合行情 / 旧工具,daily_ohlc,"日频高开低收。type 默认 stock(A股/通用证券日 OHLC,v0 /api/v0/stock-candlesticks 或 /api/v0/hk-stock-candlesticks,按 symbol 后缀路由,必填 symbol,until_ts_millis 不传则取当前时间)；",无,"adjust, board_code, end_date, index_code, limit, page, page_size, secid, since, start_date, stock_code, symbol, type, until, until_date",15
4,示例 / 聚合,echo,示例转发型工具（占位）。回显 message，不触网，用于演示 handler→service 分层。,message,message,1
5,资金 / 情绪 / 短线,ft_abnormal_trading_details,查询龙虎榜明细（异动成交详情），按交易日返回当日上榜标的明细：含标的涨跌幅、收盘价、成交额，以及买入额/卖出额前 5 名营业部明细。传入 `date` 时直接读取文件中心当日 CSV（`STRANGE_TRADE`），不传时回退内存缓存 `ABNORMAL_TRADING_DETAILS`。,无,date,1
6,资金 / 情绪 / 短线,ft_abnormal_trading_overview,查询龙虎榜总览（异动成交概览），按交易日返回当日上榜标的的总览信息：仅含标的代码与涨跌幅，按交易所分桶（上交所 xshg / 深交所 xshe / 北交所 bjse）。传入 `date` 时直接读取文件中心当日 CSV，不传时回退内存缓存 `ABNORMAL_TRADING_OVERVIEW`。,无,date,1
7,A股基础 / 行情,ft_auction_results,返回当日所有股票的盘前集合竞价结果（9:25 开盘集合竞价快照，来自 ClickHouse）：集合竞价开盘价/收盘价（最新价）、最高价、最低价、成交量、成交额、均价（vwap）。支持按 `ts_code` 单标的查询，或按 `trade_date` / `start_date`+`end_date` 区间查询。,无,"end_date, page, page_size, start_date, trade_date, ts_code",6
8,日历 / 事件,ft_baidu_financial_calendar,查询百度财经日历，按日期范围返回该区间内的财经事件，覆盖经济数据、新股 IPO、财报披露时间、交易提醒四类。可通过 `category` 筛选单类，不传返回全部。,"start_date, end_date","category, end_date, page, page_size, start_date",5
9,A股财务 / 业绩,ft_balance,查询 A 股上市公司资产负债表数据，底表 `ashare_balance`。返回**宽表**结构（每行一个报告期 + 多个财务科目列），数值字段为 `Option<Decimal>`，优先取「合并调整」报表类型，没有则取「合并未调整」。,无,"page, page_size, report_type, stock_code, year",5
10,资金 / 情绪 / 短线,ft_cashflow,查询 A 股上市公司现金流量表数据，底表 `ashare_cashflow`。返回**宽表**结构（每行一个报告期 + 多个财务科目列），数值字段为 `Option<Decimal>`，优先取「合并调整」报表类型，没有则取「合并未调整」。,无,"page, page_size, report_type, stock_code, year",5
11,宏观经济,ft_consumer_credit_monthly,查询中国信贷数据（月度汇总计算结果，底层 `file_id` = M00000402）。按月份返回新增信贷当月值、同比、环比、当年累计及累计同比。,无,无,0
12,宏观经济,ft_consumer_customs_trade_monthly,查询中国海关进出口增减情况月度汇总计算结果。按月份返回当月出口额（M00007241）、出口同比/环比，当月进口额（M00007297）、进口同比/环比，以及累计出口/进口额（M00007269/M00007325）与各自累计同比。,无,无,0
13,宏观经济,ft_consumer_fiscal_revenue_monthly,查询中国财政收入月度汇总计算结果。按月份返回当月财政收入合计（`file_id` = M00008501）、当月同比/环比、累计（M00001548）及累计同比（M00001549）。,无,无,0
14,宏观经济,ft_consumer_fixed_asset_monthly,查询中国城镇固定资产投资月度汇总计算结果（底层 `file_id` = M00001580）。按月份返回本月投资（本月累计 - 上月累计）、同比、环比、原始累计值。,无,无,0
15,宏观经济,ft_consumer_forex_gold_monthly,查询中国国家外汇储备与黄金储备月度汇总计算结果。按月份返回外汇储备当月值（`file_id` = M00012713）、外汇同比/环比，黄金储备当月值（M00017197）、黄金同比/环比。,无,无,0
16,宏观经济,ft_consumer_gdp_quarterly,查询中国 GDP 季度汇总结果。按季度（按 `field_date` 的季度）返回 GDP 总量、同比，以及第一/二/三产业增加值与各产业累计同比。,无,无,0
17,宏观经济,ft_consumer_industrial_added_value_monthly,查询中国工业增加值增长月度汇总计算结果。按月份返回同比增长（`file_id` = M00006985）与累计同比增长（M00006990）。,无,无,0
18,宏观经济,ft_consumer_money_supply_monthly,查询中国货币供应量（M0/M1/M2）月度汇总计算结果。按月份返回 M2、M1、M0 各自的当月数量、同比、环比。,无,无,0
19,宏观经济,ft_consumer_pmi_monthly,查询中国采购经理指数（PMI）月度汇总计算结果，覆盖制造业与非制造业。按月份返回制造业/非制造业 PMI 当月值、同比、环比。,无,无,0
20,宏观经济,ft_consumer_ppi_monthly,查询中国工业生产者出厂价格指数（PPI）月度汇总计算结果。按月份返回当月 PPI（`file_id` = M00001975）、同比（M00007210）、环比（M00007209）、当年累计月均。,无,无,0
21,宏观经济,ft_consumer_price_index_monthly,查询中国居民消费价格指数（CPI）月度汇总计算结果。按月份返回全国（含累计同比）、城市、农村三档 CPI 同比/环比/当月值。,无,无,0
22,宏观经济,ft_consumer_retail_sales_monthly,查询中国社会消费品零售总额月度汇总计算结果。按月份返回当月值（`file_id` = M00002373）、同比（M00000313）、累计值（M00002374）、累计同比（M00002375）。,无,无,0
23,新闻 / 公告 / 研报,ft_earnings_reports_paginated,查询 A 股业绩快报（`ashare_perf_quick`），返回已披露的业绩快报核心指标（EPS、营业总收入、净利润、ROE 等，含本期/上期/同比）。数据走 Redis 缓存。,无,"page, page_size, report_type, stock_code, year",5
